"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|CH","Actual Total Load [MW] - BZN|CH"
"01.01.2015 00:00 - 01.01.2015 01:00","7654","7673"
"01.01.2015 01:00 - 01.01.2015 02:00","7687","7633"
"01.01.2015 02:00 - 01.01.2015 03:00","7696","7654"
"01.01.2015 03:00 - 01.01.2015 04:00","7448","7397"
"01.01.2015 04:00 - 01.01.2015 05:00","7382","7340"
"01.01.2015 05:00 - 01.01.2015 06:00","7047","7015"
"01.01.2015 06:00 - 01.01.2015 07:00","7087","7059"
"01.01.2015 07:00 - 01.01.2015 08:00","6870","6857"
"01.01.2015 08:00 - 01.01.2015 09:00","6650","6636"
"01.01.2015 09:00 - 01.01.2015 10:00","6593","6583"
"01.01.2015 10:00 - 01.01.2015 11:00","6845","6838"
"01.01.2015 11:00 - 01.01.2015 12:00","6871","6865"
"01.01.2015 12:00 - 01.01.2015 13:00","6642","6614"
"01.01.2015 13:00 - 01.01.2015 14:00","7174","7141"
"01.01.2015 14:00 - 01.01.2015 15:00","7106","7074"
"01.01.2015 15:00 - 01.01.2015 16:00","7114","7118"
"01.01.2015 16:00 - 01.01.2015 17:00","7110","7110"
"01.01.2015 17:00 - 01.01.2015 18:00","7359","7358"
"01.01.2015 18:00 - 01.01.2015 19:00","7658","7656"
"01.01.2015 19:00 - 01.01.2015 20:00","7842","7774"
"01.01.2015 20:00 - 01.01.2015 21:00","7745","7678"
"01.01.2015 21:00 - 01.01.2015 22:00","7482","7444"
"01.01.2015 22:00 - 01.01.2015 23:00","7392","7338"
"01.01.2015 23:00 - 02.01.2015 00:00","7494","7429"
"02.01.2015 00:00 - 02.01.2015 01:00","7285","7213"
"02.01.2015 01:00 - 02.01.2015 02:00","7117","7079"
"02.01.2015 02:00 - 02.01.2015 03:00","7097","7054"
"02.01.2015 03:00 - 02.01.2015 04:00","7233","7194"
"02.01.2015 04:00 - 02.01.2015 05:00","7147","7121"
"02.01.2015 05:00 - 02.01.2015 06:00","7014","6982"
"02.01.2015 06:00 - 02.01.2015 07:00","6828","6792"
"02.01.2015 07:00 - 02.01.2015 08:00","6814","6795"
"02.01.2015 08:00 - 02.01.2015 09:00","6728","6717"
"02.01.2015 09:00 - 02.01.2015 10:00","6854","6854"
"02.01.2015 10:00 - 02.01.2015 11:00","7136","7128"
"02.01.2015 11:00 - 02.01.2015 12:00","7242","7226"
"02.01.2015 12:00 - 02.01.2015 13:00","7155","7134"
"02.01.2015 13:00 - 02.01.2015 14:00","7557","7520"
"02.01.2015 14:00 - 02.01.2015 15:00","7484","7457"
"02.01.2015 15:00 - 02.01.2015 16:00","7344","7325"
"02.01.2015 16:00 - 02.01.2015 17:00","7313","7293"
"02.01.2015 17:00 - 02.01.2015 18:00","7543","7519"
"02.01.2015 18:00 - 02.01.2015 19:00","8102","8018"
"02.01.2015 19:00 - 02.01.2015 20:00","8198","8082"
"02.01.2015 20:00 - 02.01.2015 21:00","7959","7841"
"02.01.2015 21:00 - 02.01.2015 22:00","7583","7502"
"02.01.2015 22:00 - 02.01.2015 23:00","7406","7363"
"02.01.2015 23:00 - 03.01.2015 00:00","7422","7382"
"03.01.2015 00:00 - 03.01.2015 01:00","7149","7100"
"03.01.2015 01:00 - 03.01.2015 02:00","6984","6924"
"03.01.2015 02:00 - 03.01.2015 03:00","6977","6916"
"03.01.2015 03:00 - 03.01.2015 04:00","7032","6982"
"03.01.2015 04:00 - 03.01.2015 05:00","6958","6918"
"03.01.2015 05:00 - 03.01.2015 06:00","6791","6757"
"03.01.2015 06:00 - 03.01.2015 07:00","6895","6852"
"03.01.2015 07:00 - 03.01.2015 08:00","6922","6900"
"03.01.2015 08:00 - 03.01.2015 09:00","6906","6889"
"03.01.2015 09:00 - 03.01.2015 10:00","7001","6983"
"03.01.2015 10:00 - 03.01.2015 11:00","7247","7246"
"03.01.2015 11:00 - 03.01.2015 12:00","7358","7362"
"03.01.2015 12:00 - 03.01.2015 13:00","7423","7421"
"03.01.2015 13:00 - 03.01.2015 14:00","7556","7538"
"03.01.2015 14:00 - 03.01.2015 15:00","7736","7718"
"03.01.2015 15:00 - 03.01.2015 16:00","7821","7811"
"03.01.2015 16:00 - 03.01.2015 17:00","8020","7987"
"03.01.2015 17:00 - 03.01.2015 18:00","8066","8025"
"03.01.2015 18:00 - 03.01.2015 19:00","8209","8168"
"03.01.2015 19:00 - 03.01.2015 20:00","8174","8106"
"03.01.2015 20:00 - 03.01.2015 21:00","7864","7784"
"03.01.2015 21:00 - 03.01.2015 22:00","7405","7369"
"03.01.2015 22:00 - 03.01.2015 23:00","7170","7115"
"03.01.2015 23:00 - 04.01.2015 00:00","7134","7070"
"04.01.2015 00:00 - 04.01.2015 01:00","6996","6924"
"04.01.2015 01:00 - 04.01.2015 02:00","7093","7017"
"04.01.2015 02:00 - 04.01.2015 03:00","7041","6969"
